Word
like
know
get
right
go
got
one
people
gonna
shit
oh
think
said
yeah
fucking
want
say
time
going
fuck
would
see
good
cause
look
back
little
come
really
thing
guy
let
okay
never
well
even
way
tell
take
ever
something
could
day
put
goes
went
mean
two
god
hey
every
first
lot
much
uh
us
give
around
always
thank
gotta
great
yes
wanna
trying
talk
getting
talking
everybody
anything
real
year
three
maybe
saying
nothing
everything
made
someone
stuff
says
used
another
seen
somebody
happened
actually
motherfucker
told
um
many
started
might
everyone
nobody
em
five
ha
whatever
thinking
gets
enough
sometimes
also
else
took
knew
probably
